Id_employe;Id_temps;Id_motif;Id_situation;Temps_absence_heures
11;Juillet_Printemps;Raison familiale;11_situation;4
36;Juillet_Printemps;Aucune absence;36_situation;0
3;Juillet_Printemps;Maladie générale;3_situation;2
7;Juillet_Printemps;Maladie générale;7_situation;4
11;Juillet_Printemps;Maladie générale;11_situation;2
3;Juillet_Printemps;Maladie générale;3_situation;2
10;Juillet_Printemps;Examen médical;10_situation;8
20;Juillet_Printemps;Maladie générale;20_situation;4
14;Juillet_Printemps;Mariage;14_situation;40
1;Juillet_Printemps;Examen médical;1_situation;8
20;Juillet_Printemps;Maladie infectieuse;20_situation;8
20;Juillet_Printemps;Maladie infectieuse;20_situation;8
20;Juillet_Printemps;Examen médical;20_situation;8
3;Juillet_Printemps;Examen médical;3_situation;1
3;Juillet_Printemps;Maladie générale;3_situation;4
24;Juillet_Printemps;Hospitalisation;24_situation;8
3;Juillet_Printemps;Dentiste;3_situation;8
6;Juillet_Printemps;Examen médical;6_situation;8
33;Août_Printemps;Maladie générale;33_situation;2
18;Août_Printemps;Consultation médicale;18_situation;8
3;Août_Printemps;Examen médical;3_situation;1
10;Août_Printemps;Suivi grossesse;10_situation;40
20;Août_Printemps;Raison diverse;20_situation;4
11;Août_Printemps;Décès famille;11_situation;8
10;Août_Printemps;Raison personnelle;10_situation;7
11;Août_Printemps;Maladie générale;11_situation;1
30;Août_Printemps;Raison diverse;30_situation;4
11;Août_Printemps;Décès famille;11_situation;8
3;Août_Printemps;Maladie générale;3_situation;2
3;Août_Printemps;Décès famille;3_situation;8
2;Août_Printemps;Décès famille;2_situation;8
1;Août_Printemps;Maladie générale;1_situation;4
2;Août_Printemps;Décès famille;2_situation;8
3;Août_Printemps;Maladie générale;3_situation;2
10;Août_Printemps;Maladie générale;10_situation;1
11;Août_Printemps;Autre médical;11_situation;8
19;Août_Printemps;Examen médical;19_situation;4
2;Août_Printemps;Raison diverse;2_situation;8
20;Août_Printemps;Maladie générale;20_situation;4
27;Septembre_Printemps;Maladie générale;27_situation;2
34;Septembre_Printemps;Maladie générale;34_situation;4
3;Septembre_Printemps;Maladie générale;3_situation;4
5;Septembre_Printemps;Mariage;5_situation;8
14;Septembre_Printemps;Maladie générale;14_situation;2
34;Septembre_Printemps;Maladie générale;34_situation;3
3;Septembre_Printemps;Maladie générale;3_situation;3
15;Septembre_Printemps;Maladie générale;15_situation;4
20;Septembre_Printemps;Examen médical;20_situation;8
15;Septembre_Hiver;Hospitalisation;15_situation;32
20;Septembre_Hiver;Aucune absence;20_situation;0
29;Septembre_Hiver;Aucune absence;29_situation;0
28;Septembre_Hiver;Maladie générale;28_situation;2
34;Septembre_Hiver;Maladie générale;34_situation;2
11;Septembre_Hiver;Aucune absence;11_situation;0
36;Septembre_Hiver;Aucune absence;36_situation;0
28;Septembre_Hiver;Décès famille;28_situation;3
3;Septembre_Hiver;Maladie générale;3_situation;3
13;Septembre_Hiver;Aucune absence;13_situation;0
33;Septembre_Hiver;Maladie générale;33_situation;1
3;Septembre_Hiver;Maladie générale;3_situation;3
