Id_temps;Mois_absence;Saison;Jour_semaine
Juillet_Printemps;Juillet;Printemps;Mardi
Juillet_Printemps;Juillet;Printemps;Mercredi
Juillet_Printemps;Juillet;Printemps;Jeudi
Juillet_Printemps;Juillet;Printemps;Vendredi
Juillet_Printemps;Juillet;Printemps;Lundi
Août_Printemps;Août;Printemps;Mercredi
Août_Printemps;Août;Printemps;Lundi
Août_Printemps;Août;Printemps;Vendredi
Août_Printemps;Août;Printemps;Mardi
Août_Printemps;Août;Printemps;Jeudi
Septembre_Printemps;Septembre;Printemps;Mardi
Septembre_Printemps;Septembre;Printemps;Lundi
Septembre_Printemps;Septembre;Printemps;Mercredi
Septembre_Printemps;Septembre;Printemps;Jeudi
Septembre_Printemps;Septembre;Printemps;Vendredi
Septembre_Hiver;Septembre;Hiver;Lundi
Septembre_Hiver;Septembre;Hiver;Mardi
Septembre_Hiver;Septembre;Hiver;Mercredi
Septembre_Hiver;Septembre;Hiver;Vendredi
Octobre_Hiver;Octobre;Hiver;Mardi
Octobre_Hiver;Octobre;Hiver;Mercredi
Octobre_Hiver;Octobre;Hiver;Jeudi
Octobre_Hiver;Octobre;Hiver;Vendredi
Novembre_Hiver;Novembre;Hiver;Jeudi
Novembre_Hiver;Novembre;Hiver;Mercredi
Novembre_Hiver;Novembre;Hiver;Lundi
Novembre_Hiver;Novembre;Hiver;Vendredi
Novembre_Hiver;Novembre;Hiver;Mardi
Décembre_Hiver;Décembre;Hiver;Mardi
Décembre_Hiver;Décembre;Hiver;Mercredi
Décembre_Hiver;Décembre;Hiver;Jeudi
Décembre_Hiver;Décembre;Hiver;Vendredi
Décembre_Été;Décembre;Été;Vendredi
Janvier_Été;Janvier;Été;Mercredi
Janvier_Été;Janvier;Été;Lundi
Janvier_Été;Janvier;Été;Mardi
Janvier_Été;Janvier;Été;Jeudi
Janvier_Été;Janvier;Été;Vendredi
Février_Été;Février;Été;Vendredi
Février_Été;Février;Été;Mercredi
Février_Été;Février;Été;Jeudi
Février_Été;Février;Été;Lundi
Février_Été;Février;Été;Mardi
Mars_Été;Mars;Été;Mardi
Mars_Été;Mars;Été;Mercredi
Mars_Été;Mars;Été;Jeudi
Mars_Été;Mars;Été;Vendredi
Mars_Été;Mars;Été;Lundi
Mars_Automne;Mars;Automne;Lundi
Mars_Automne;Mars;Automne;Mardi
Mars_Automne;Mars;Automne;Mercredi
Mars_Automne;Mars;Automne;Jeudi
Mars_Automne;Mars;Automne;Vendredi
Avril_Automne;Avril;Automne;Mercredi
Avril_Automne;Avril;Automne;Mardi
Avril_Automne;Avril;Automne;Jeudi
Avril_Automne;Avril;Automne;Vendredi
Avril_Automne;Avril;Automne;Lundi
Mai_Automne;Mai;Automne;Mercredi
Mai_Automne;Mai;Automne;Jeudi
Mai_Automne;Mai;Automne;Lundi
Mai_Automne;Mai;Automne;Mardi
Mai_Automne;Mai;Automne;Vendredi
Juin_Automne;Juin;Automne;Lundi
Juin_Automne;Juin;Automne;Mardi
Juin_Automne;Juin;Automne;Jeudi
Juin_Automne;Juin;Automne;Vendredi
Juin_Automne;Juin;Automne;Mercredi
Juin_Printemps;Juin;Printemps;Lundi
Juin_Printemps;Juin;Printemps;Jeudi
Septembre_Hiver;Septembre;Hiver;Jeudi
Octobre_Hiver;Octobre;Hiver;Lundi
Décembre_Hiver;Décembre;Hiver;Lundi
Décembre_Été;Décembre;Été;Mardi
Décembre_Été;Décembre;Été;Mercredi
Décembre_Été;Décembre;Été;Lundi
Juin_Printemps;Juin;Printemps;Mercredi
Juin_Printemps;Juin;Printemps;Vendredi
Juin_Printemps;Juin;Printemps;Mardi
