Id_motif;Libelle_motif
Raison familiale;Raison familiale
Aucune absence;Aucune absence
Maladie générale;Maladie générale
Examen médical;Examen médical
Mariage;Mariage
Maladie infectieuse;Maladie infectieuse
Hospitalisation;Hospitalisation
Dentiste;Dentiste
Consultation médicale;Consultation médicale
Suivi grossesse;Suivi grossesse
Raison diverse;Raison diverse
Décès famille;Décès famille
Raison personnelle;Raison personnelle
Autre médical;Autre médical
Maladie psychiatrique;Maladie psychiatrique
Raison administrative;Raison administrative
Maladie parent;Maladie parent
Accident domestique;Accident domestique
Soins dentaires;Soins dentaires
Maladie neurologique;Maladie neurologique
Accident travail;Accident travail
Convalescence;Convalescence
Maladie cardiovasculaire;Maladie cardiovasculaire
Maladie respiratoire;Maladie respiratoire
Maladie digestive;Maladie digestive
Maladie enfant;Maladie enfant
